Gene ID	GO	KO
GFH11364	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH11364" target="_blank">GFH11364</a>		
GFH11366	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH11366" target="_blank">GFH11366</a>		
GFH11371	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH11371" target="_blank">GFH11371</a>		
GFH11372	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH11372" target="_blank">GFH11372</a>		
GFH11373	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH11373" target="_blank">GFH11373</a>		
GFH11374	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH11374" target="_blank">GFH11374</a>		
GFH11382	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH11382" target="_blank">GFH11382</a>		
GFH11383	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH11383" target="_blank">GFH11383</a>		
GFH11386	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH11386" target="_blank">GFH11386</a>		
GFH11388	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH11388" target="_blank">GFH11388</a>		
GFH11391	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH11391" target="_blank">GFH11391</a>		
GFH11392	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH11392" target="_blank">GFH11392</a>		
GFH11407	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH11407" target="_blank">GFH11407</a>		
GFH11413	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH11413" target="_blank">GFH11413</a>		
GFH11414	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH11414" target="_blank">GFH11414</a>		
GFH11415	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH11415" target="_blank">GFH11415</a>		
GFH11416	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH11416" target="_blank">GFH11416</a>		
GFH11423	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH11423" target="_blank">GFH11423</a>		
GFH11433	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH11433" target="_blank">GFH11433</a>		
GFH11436	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH11436" target="_blank">GFH11436</a>		
GFH11449	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH11449" target="_blank">GFH11449</a>		
GFH11454	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH11454" target="_blank">GFH11454</a>		
GFH11458	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH11458" target="_blank">GFH11458</a>		
GFH11481	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH11481" target="_blank">GFH11481</a>		
GFH11485	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH11485" target="_blank">GFH11485</a>		
GFH11486	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH11486" target="_blank">GFH11486</a>		
GFH11496	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH11496" target="_blank">GFH11496</a>		
GFH11498	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH11498" target="_blank">GFH11498</a>		
GFH11502	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH11502" target="_blank">GFH11502</a>		
GFH11504	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH11504" target="_blank">GFH11504</a>		
GFH11507	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH11507" target="_blank">GFH11507</a>		
GFH11508	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH11508" target="_blank">GFH11508</a>		
GFH11511	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH11511" target="_blank">GFH11511</a>		
GFH11512	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH11512" target="_blank">GFH11512</a>		
GFH11513	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH11513" target="_blank">GFH11513</a>		
GFH11534	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH11534" target="_blank">GFH11534</a>		
GFH11535	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH11535" target="_blank">GFH11535</a>		
GFH11536	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH11536" target="_blank">GFH11536</a>		
GFH11537	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH11537" target="_blank">GFH11537</a>		
GFH11539	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH11539" target="_blank">GFH11539</a>		
GFH11541	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH11541" target="_blank">GFH11541</a>		
GFH11545	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH11545" target="_blank">GFH11545</a>		
GFH11556	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH11556" target="_blank">GFH11556</a>		
GFH11559	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH11559" target="_blank">GFH11559</a>		
GFH11568	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH11568" target="_blank">GFH11568</a>		
GFH11579	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH11579" target="_blank">GFH11579</a>		
GFH11580	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH11580" target="_blank">GFH11580</a>		
GFH11581	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH11581" target="_blank">GFH11581</a>		
GFH11586	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH11586" target="_blank">GFH11586</a>		
GFH11641	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH11641" target="_blank">GFH11641</a>		
GFH11643	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH11643" target="_blank">GFH11643</a>		
GFH11661	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH11661" target="_blank">GFH11661</a>		
GFH11667	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH11667" target="_blank">GFH11667</a>		
GFH11669	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH11669" target="_blank">GFH11669</a>		
GFH11672	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH11672" target="_blank">GFH11672</a>		
GFH11673	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH11673" target="_blank">GFH11673</a>		
GFH11699	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH11699" target="_blank">GFH11699</a>		
GFH11735	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH11735" target="_blank">GFH11735</a>		
GFH11748	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH11748" target="_blank">GFH11748</a>		
GFH11749	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH11749" target="_blank">GFH11749</a>		
GFH11752	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH11752" target="_blank">GFH11752</a>		
GFH11766	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH11766" target="_blank">GFH11766</a>		
GFH11769	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH11769" target="_blank">GFH11769</a>		
GFH11770	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH11770" target="_blank">GFH11770</a>		
GFH11815	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH11815" target="_blank">GFH11815</a>		
GFH11819	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH11819" target="_blank">GFH11819</a>		
GFH11820	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH11820" target="_blank">GFH11820</a>		
GFH11828	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH11828" target="_blank">GFH11828</a>		
GFH11837	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH11837" target="_blank">GFH11837</a>		
GFH11842	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH11842" target="_blank">GFH11842</a>		
GFH11849	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH11849" target="_blank">GFH11849</a>		
GFH11859	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH11859" target="_blank">GFH11859</a>		
GFH11869	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH11869" target="_blank">GFH11869</a>		
GFH11893	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH11893" target="_blank">GFH11893</a>		
GFH11901	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH11901" target="_blank">GFH11901</a>		
GFH11919	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH11919" target="_blank">GFH11919</a>		
GFH11921	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH11921" target="_blank">GFH11921</a>		
GFH11922	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH11922" target="_blank">GFH11922</a>		
GFH11923	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH11923" target="_blank">GFH11923</a>		
GFH11925	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH11925" target="_blank">GFH11925</a>		
GFH11930	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH11930" target="_blank">GFH11930</a>		
GFH11931	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH11931" target="_blank">GFH11931</a>		
GFH11934	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH11934" target="_blank">GFH11934</a>		
GFH11944	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH11944" target="_blank">GFH11944</a>		
GFH11945	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH11945" target="_blank">GFH11945</a>		
GFH11957	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH11957" target="_blank">GFH11957</a>		
GFH11977	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH11977" target="_blank">GFH11977</a>		
GFH11980	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH11980" target="_blank">GFH11980</a>		
GFH11985	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH11985" target="_blank">GFH11985</a>		
GFH11986	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH11986" target="_blank">GFH11986</a>		
GFH11987	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH11987" target="_blank">GFH11987</a>		
GFH11993	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH11993" target="_blank">GFH11993</a>		
GFH11994	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH11994" target="_blank">GFH11994</a>		
GFH12012	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12012" target="_blank">GFH12012</a>		
GFH12019	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12019" target="_blank">GFH12019</a>		
GFH12021	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12021" target="_blank">GFH12021</a>		
GFH12028	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12028" target="_blank">GFH12028</a>		
GFH12032	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12032" target="_blank">GFH12032</a>		
GFH12039	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12039" target="_blank">GFH12039</a>		
GFH12043	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12043" target="_blank">GFH12043</a>		
GFH12052	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12052" target="_blank">GFH12052</a>		
GFH12053	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12053" target="_blank">GFH12053</a>		
GFH12056	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12056" target="_blank">GFH12056</a>		
GFH12059	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12059" target="_blank">GFH12059</a>		
GFH12061	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12061" target="_blank">GFH12061</a>		
GFH12077	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12077" target="_blank">GFH12077</a>		
GFH12081	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12081" target="_blank">GFH12081</a>		
GFH12100	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12100" target="_blank">GFH12100</a>		
GFH12106	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12106" target="_blank">GFH12106</a>		
GFH12108	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12108" target="_blank">GFH12108</a>		
GFH12111	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12111" target="_blank">GFH12111</a>		
GFH12116	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12116" target="_blank">GFH12116</a>		
GFH12124	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12124" target="_blank">GFH12124</a>		
GFH12130	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12130" target="_blank">GFH12130</a>		
GFH12143	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12143" target="_blank">GFH12143</a>		
GFH12146	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12146" target="_blank">GFH12146</a>		
GFH12147	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12147" target="_blank">GFH12147</a>		
GFH12167	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12167" target="_blank">GFH12167</a>		
GFH12189	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12189" target="_blank">GFH12189</a>		
GFH12196	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12196" target="_blank">GFH12196</a>		
GFH12200	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12200" target="_blank">GFH12200</a>		
GFH12201	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12201" target="_blank">GFH12201</a>		
GFH12217	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12217" target="_blank">GFH12217</a>		
GFH12225	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12225" target="_blank">GFH12225</a>		
GFH12235	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12235" target="_blank">GFH12235</a>		
GFH12239	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12239" target="_blank">GFH12239</a>		
GFH12253	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12253" target="_blank">GFH12253</a>		
GFH12269	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12269" target="_blank">GFH12269</a>		
GFH12278	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12278" target="_blank">GFH12278</a>		
GFH12289	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12289" target="_blank">GFH12289</a>		
GFH12293	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12293" target="_blank">GFH12293</a>		
GFH12296	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12296" target="_blank">GFH12296</a>		
GFH12297	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12297" target="_blank">GFH12297</a>		
GFH12298	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12298" target="_blank">GFH12298</a>		
GFH12305	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12305" target="_blank">GFH12305</a>		
GFH12307	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12307" target="_blank">GFH12307</a>		
GFH12322	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12322" target="_blank">GFH12322</a>		
GFH12336	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12336" target="_blank">GFH12336</a>		
GFH12341	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12341" target="_blank">GFH12341</a>		
GFH12345	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12345" target="_blank">GFH12345</a>		
GFH12347	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12347" target="_blank">GFH12347</a>		
GFH12352	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12352" target="_blank">GFH12352</a>		
GFH12366	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12366" target="_blank">GFH12366</a>		
GFH12369	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12369" target="_blank">GFH12369</a>		
GFH12385	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12385" target="_blank">GFH12385</a>		
GFH12434	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12434" target="_blank">GFH12434</a>		
GFH12438	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12438" target="_blank">GFH12438</a>		
GFH12440	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12440" target="_blank">GFH12440</a>		
GFH12441	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12441" target="_blank">GFH12441</a>		
GFH12479	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12479" target="_blank">GFH12479</a>		
GFH12481	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12481" target="_blank">GFH12481</a>		
GFH12502	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12502" target="_blank">GFH12502</a>		
GFH12516	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12516" target="_blank">GFH12516</a>		
GFH12519	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12519" target="_blank">GFH12519</a>		
GFH12520	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12520" target="_blank">GFH12520</a>		
GFH12524	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12524" target="_blank">GFH12524</a>		
GFH12550	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12550" target="_blank">GFH12550</a>		
GFH12556	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12556" target="_blank">GFH12556</a>		
GFH12579	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12579" target="_blank">GFH12579</a>		
GFH12580	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12580" target="_blank">GFH12580</a>		
GFH12582	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12582" target="_blank">GFH12582</a>		
GFH12589	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12589" target="_blank">GFH12589</a>		
GFH12603	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12603" target="_blank">GFH12603</a>		
GFH12607	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12607" target="_blank">GFH12607</a>		
GFH12611	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12611" target="_blank">GFH12611</a>		
GFH12612	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12612" target="_blank">GFH12612</a>		
GFH12613	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12613" target="_blank">GFH12613</a>		
GFH12626	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12626" target="_blank">GFH12626</a>		
GFH12628	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12628" target="_blank">GFH12628</a>		
GFH12642	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12642" target="_blank">GFH12642</a>		
GFH12643	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12643" target="_blank">GFH12643</a>		
GFH12660	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12660" target="_blank">GFH12660</a>		
GFH12661	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12661" target="_blank">GFH12661</a>		
GFH12671	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12671" target="_blank">GFH12671</a>		
GFH12674	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12674" target="_blank">GFH12674</a>		
GFH12681	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12681" target="_blank">GFH12681</a>		
GFH12701	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12701" target="_blank">GFH12701</a>		
GFH12729	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12729" target="_blank">GFH12729</a>		
GFH12736	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12736" target="_blank">GFH12736</a>		
GFH12738	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12738" target="_blank">GFH12738</a>		
GFH12740	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12740" target="_blank">GFH12740</a>		
GFH12745	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12745" target="_blank">GFH12745</a>		
GFH12759	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12759" target="_blank">GFH12759</a>		
GFH12779	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12779" target="_blank">GFH12779</a>		
GFH12796	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12796" target="_blank">GFH12796</a>		
GFH12805	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12805" target="_blank">GFH12805</a>		
GFH12810	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12810" target="_blank">GFH12810</a>		
GFH12819	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12819" target="_blank">GFH12819</a>		
GFH12823	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12823" target="_blank">GFH12823</a>		
GFH12839	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12839" target="_blank">GFH12839</a>		
GFH12845	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12845" target="_blank">GFH12845</a>		
GFH12847	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12847" target="_blank">GFH12847</a>		
GFH12852	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12852" target="_blank">GFH12852</a>		
GFH12856	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12856" target="_blank">GFH12856</a>		
GFH12874	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12874" target="_blank">GFH12874</a>		
GFH12887	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12887" target="_blank">GFH12887</a>		
GFH12888	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12888" target="_blank">GFH12888</a>		
GFH12894	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12894" target="_blank">GFH12894</a>		
GFH12896	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12896" target="_blank">GFH12896</a>		
GFH12918	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12918" target="_blank">GFH12918</a>		
GFH12920	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12920" target="_blank">GFH12920</a>		
GFH12946	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12946" target="_blank">GFH12946</a>		
GFH12962	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12962" target="_blank">GFH12962</a>		
GFH12963	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12963" target="_blank">GFH12963</a>		
GFH12979	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12979" target="_blank">GFH12979</a>		
GFH12995	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12995" target="_blank">GFH12995</a>		
GFH12998	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH12998" target="_blank">GFH12998</a>		
GFH13001	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH13001" target="_blank">GFH13001</a>		
GFH13013	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH13013" target="_blank">GFH13013</a>		
GFH13015	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH13015" target="_blank">GFH13015</a>		
GFH13035	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH13035" target="_blank">GFH13035</a>		
GFH13039	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH13039" target="_blank">GFH13039</a>		
GFH13040	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH13040" target="_blank">GFH13040</a>		
GFH13084	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH13084" target="_blank">GFH13084</a>		
GFH13087	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH13087" target="_blank">GFH13087</a>		
GFH13112	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH13112" target="_blank">GFH13112</a>		
GFH13118	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH13118" target="_blank">GFH13118</a>		
GFH13125	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH13125" target="_blank">GFH13125</a>		
GFH13126	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH13126" target="_blank">GFH13126</a>		
GFH13132	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH13132" target="_blank">GFH13132</a>		
GFH13133	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH13133" target="_blank">GFH13133</a>		
GFH13138	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH13138" target="_blank">GFH13138</a>		
GFH13141	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH13141" target="_blank">GFH13141</a>		
GFH13142	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH13142" target="_blank">GFH13142</a>		
GFH13143	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH13143" target="_blank">GFH13143</a>		
GFH13146	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH13146" target="_blank">GFH13146</a>		
GFH13155	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH13155" target="_blank">GFH13155</a>		
GFH13161	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH13161" target="_blank">GFH13161</a>		
GFH13170	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH13170" target="_blank">GFH13170</a>		
GFH13179	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH13179" target="_blank">GFH13179</a>		
GFH13180	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH13180" target="_blank">GFH13180</a>		
GFH13230	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH13230" target="_blank">GFH13230</a>		
GFH13231	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH13231" target="_blank">GFH13231</a>		
GFH13234	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH13234" target="_blank">GFH13234</a>		
GFH13238	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH13238" target="_blank">GFH13238</a>		
GFH13241	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH13241" target="_blank">GFH13241</a>		
GFH13245	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH13245" target="_blank">GFH13245</a>		
GFH13253	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH13253" target="_blank">GFH13253</a>		
GFH13258	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH13258" target="_blank">GFH13258</a>		
GFH13270	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH13270" target="_blank">GFH13270</a>		
GFH13271	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH13271" target="_blank">GFH13271</a>		
GFH13289	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH13289" target="_blank">GFH13289</a>		
GFH13303	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH13303" target="_blank">GFH13303</a>		
GFH13306	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH13306" target="_blank">GFH13306</a>		
GFH13321	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH13321" target="_blank">GFH13321</a>		
GFH13331	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH13331" target="_blank">GFH13331</a>		
GFH13332	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH13332" target="_blank">GFH13332</a>		
GFH13345	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH13345" target="_blank">GFH13345</a>		
GFH13351	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH13351" target="_blank">GFH13351</a>		
GFH13361	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH13361" target="_blank">GFH13361</a>		
GFH13364	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH13364" target="_blank">GFH13364</a>		
GFH13369	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH13369" target="_blank">GFH13369</a>		
GFH13370	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH13370" target="_blank">GFH13370</a>		
GFH13371	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH13371" target="_blank">GFH13371</a>		
GFH13372	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH13372" target="_blank">GFH13372</a>		
GFH13379	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH13379" target="_blank">GFH13379</a>		
GFH13399	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH13399" target="_blank">GFH13399</a>		
GFH13403	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH13403" target="_blank">GFH13403</a>		
GFH13408	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH13408" target="_blank">GFH13408</a>		
