Gene ID	GO
Bathy12g02730	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy12g02730" target="_blank">Bathy12g02730</a>	
Bathy12g02740	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy12g02740" target="_blank">Bathy12g02740</a>	
Bathy12g02750	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy12g02750" target="_blank">Bathy12g02750</a>	
Bathy12g02780	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy12g02780" target="_blank">Bathy12g02780</a>	
Bathy12g02800	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy12g02800" target="_blank">Bathy12g02800</a>	
Bathy12g02820	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy12g02820" target="_blank">Bathy12g02820</a>	
Bathy12g02840	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy12g02840" target="_blank">Bathy12g02840</a>	
Bathy12g02850	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy12g02850" target="_blank">Bathy12g02850</a>	
Bathy12g02890	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy12g02890" target="_blank">Bathy12g02890</a>	
Bathy12g02900	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy12g02900" target="_blank">Bathy12g02900</a>	
Bathy12g02920	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy12g02920" target="_blank">Bathy12g02920</a>	
Bathy12g02930	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy12g02930" target="_blank">Bathy12g02930</a>	
Bathy12g02960	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy12g02960" target="_blank">Bathy12g02960</a>	
Bathy12g02980	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy12g02980" target="_blank">Bathy12g02980</a>	
Bathy12g02990	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy12g02990" target="_blank">Bathy12g02990</a>	
Bathy12g03010	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy12g03010" target="_blank">Bathy12g03010</a>	
Bathy12g03020	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy12g03020" target="_blank">Bathy12g03020</a>	
Bathy12g03030	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy12g03030" target="_blank">Bathy12g03030</a>	
Bathy12g03040	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy12g03040" target="_blank">Bathy12g03040</a>	
Bathy12g03050	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy12g03050" target="_blank">Bathy12g03050</a>	
Bathy12g03070	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy12g03070" target="_blank">Bathy12g03070</a>	
Bathy12g03080	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy12g03080" target="_blank">Bathy12g03080</a>	
Bathy12g03100	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy12g03100" target="_blank">Bathy12g03100</a>	
Bathy12g03120	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy12g03120" target="_blank">Bathy12g03120</a>	
Bathy12g03130	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy12g03130" target="_blank">Bathy12g03130</a>	
Bathy12g03140	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy12g03140" target="_blank">Bathy12g03140</a>	
Bathy12g03150	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy12g03150" target="_blank">Bathy12g03150</a>	
Bathy12g03160	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy12g03160" target="_blank">Bathy12g03160</a>	
Bathy12g03180	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy12g03180" target="_blank">Bathy12g03180</a>	
Bathy12g03190	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy12g03190" target="_blank">Bathy12g03190</a>	
Bathy12g03200	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy12g03200" target="_blank">Bathy12g03200</a>	
Bathy12g03220	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy12g03220" target="_blank">Bathy12g03220</a>	
Bathy12g03230	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy12g03230" target="_blank">Bathy12g03230</a>	
Bathy12g03240	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy12g03240" target="_blank">Bathy12g03240</a>	
Bathy12g03290	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy12g03290" target="_blank">Bathy12g03290</a>	
Bathy12g03300	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy12g03300" target="_blank">Bathy12g03300</a>	
Bathy12g03310	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy12g03310" target="_blank">Bathy12g03310</a>	
Bathy12g03320	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy12g03320" target="_blank">Bathy12g03320</a>	
Bathy12g03330	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy12g03330" target="_blank">Bathy12g03330</a>	
Bathy12g03350	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy12g03350" target="_blank">Bathy12g03350</a>	
Bathy12g03360	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy12g03360" target="_blank">Bathy12g03360</a>	
Bathy12g03430	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy12g03430" target="_blank">Bathy12g03430</a>	
Bathy12g03450	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy12g03450" target="_blank">Bathy12g03450</a>	
Bathy12g03490	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy12g03490" target="_blank">Bathy12g03490</a>	
Bathy12g03550	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy12g03550" target="_blank">Bathy12g03550</a>	
Bathy12g03570	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy12g03570" target="_blank">Bathy12g03570</a>	
Bathy12g03600	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy12g03600" target="_blank">Bathy12g03600</a>	
Bathy12g03610	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy12g03610" target="_blank">Bathy12g03610</a>	
Bathy12g03670	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy12g03670" target="_blank">Bathy12g03670</a>	
Bathy12g03680	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy12g03680" target="_blank">Bathy12g03680</a>	
Bathy12g03690	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy12g03690" target="_blank">Bathy12g03690</a>	
Bathy12g03720	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy12g03720" target="_blank">Bathy12g03720</a>	
Bathy12g03730	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy12g03730" target="_blank">Bathy12g03730</a>	
Bathy12g03750	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy12g03750" target="_blank">Bathy12g03750</a>	
Bathy12g03780	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy12g03780" target="_blank">Bathy12g03780</a>	
Bathy12g03810	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy12g03810" target="_blank">Bathy12g03810</a>	
Bathy12g03820	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy12g03820" target="_blank">Bathy12g03820</a>	
Bathy12g03830	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy12g03830" target="_blank">Bathy12g03830</a>	
Bathy12g03840	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy12g03840" target="_blank">Bathy12g03840</a>	
Bathy12g03850	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy12g03850" target="_blank">Bathy12g03850</a>	
Bathy12g03860	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy12g03860" target="_blank">Bathy12g03860</a>	
Bathy12g03880	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy12g03880" target="_blank">Bathy12g03880</a>	
Bathy13g00010	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy13g00010" target="_blank">Bathy13g00010</a>	
Bathy13g00020	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy13g00020" target="_blank">Bathy13g00020</a>	
Bathy13g00030	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy13g00030" target="_blank">Bathy13g00030</a>	
Bathy13g00040	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy13g00040" target="_blank">Bathy13g00040</a>	
Bathy13g00070	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy13g00070" target="_blank">Bathy13g00070</a>	
Bathy13g00080	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy13g00080" target="_blank">Bathy13g00080</a>	
Bathy13g00090	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy13g00090" target="_blank">Bathy13g00090</a>	
Bathy13g00100	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy13g00100" target="_blank">Bathy13g00100</a>	
Bathy13g00120	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy13g00120" target="_blank">Bathy13g00120</a>	
Bathy13g00140	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy13g00140" target="_blank">Bathy13g00140</a>	
Bathy13g00170	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy13g00170" target="_blank">Bathy13g00170</a>	
Bathy13g00190	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy13g00190" target="_blank">Bathy13g00190</a>	
Bathy13g02070	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy13g02070" target="_blank">Bathy13g02070</a>	
Bathy13g02080	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy13g02080" target="_blank">Bathy13g02080</a>	
Bathy13g02090	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy13g02090" target="_blank">Bathy13g02090</a>	
Bathy13g02100	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy13g02100" target="_blank">Bathy13g02100</a>	
Bathy13g02110	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy13g02110" target="_blank">Bathy13g02110</a>	
Bathy13g02120	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy13g02120" target="_blank">Bathy13g02120</a>	
Bathy13g02130	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy13g02130" target="_blank">Bathy13g02130</a>	
Bathy13g02140	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy13g02140" target="_blank">Bathy13g02140</a>	
Bathy13g02150	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy13g02150" target="_blank">Bathy13g02150</a>	
Bathy13g02160	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy13g02160" target="_blank">Bathy13g02160</a>	
Bathy13g02210	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy13g02210" target="_blank">Bathy13g02210</a>	
Bathy13g02240	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy13g02240" target="_blank">Bathy13g02240</a>	
Bathy13g02260	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy13g02260" target="_blank">Bathy13g02260</a>	
Bathy13g02270	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy13g02270" target="_blank">Bathy13g02270</a>	
Bathy13g02280	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy13g02280" target="_blank">Bathy13g02280</a>	
Bathy13g02300	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy13g02300" target="_blank">Bathy13g02300</a>	
Bathy13g02310	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy13g02310" target="_blank">Bathy13g02310</a>	
Bathy13g02330	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy13g02330" target="_blank">Bathy13g02330</a>	
Bathy13g02340	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy13g02340" target="_blank">Bathy13g02340</a>	
Bathy13g02390	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy13g02390" target="_blank">Bathy13g02390</a>	
Bathy13g02400	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy13g02400" target="_blank">Bathy13g02400</a>	
Bathy13g02430	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy13g02430" target="_blank">Bathy13g02430</a>	
Bathy13g02440	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy13g02440" target="_blank">Bathy13g02440</a>	
Bathy13g02460	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy13g02460" target="_blank">Bathy13g02460</a>	
Bathy13g02480	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy13g02480" target="_blank">Bathy13g02480</a>	
Bathy13g02490	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy13g02490" target="_blank">Bathy13g02490</a>	
Bathy13g02500	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy13g02500" target="_blank">Bathy13g02500</a>	
Bathy13g02540	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy13g02540" target="_blank">Bathy13g02540</a>	
Bathy13g02550	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy13g02550" target="_blank">Bathy13g02550</a>	
Bathy13g02570	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy13g02570" target="_blank">Bathy13g02570</a>	
Bathy13g02590	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy13g02590" target="_blank">Bathy13g02590</a>	
Bathy13g02610	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy13g02610" target="_blank">Bathy13g02610</a>	
Bathy13g02640	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy13g02640" target="_blank">Bathy13g02640</a>	
Bathy13g02650	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy13g02650" target="_blank">Bathy13g02650</a>	
Bathy13g02700	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy13g02700" target="_blank">Bathy13g02700</a>	
Bathy13g02710	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy13g02710" target="_blank">Bathy13g02710</a>	
Bathy13g02730	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy13g02730" target="_blank">Bathy13g02730</a>	
Bathy13g02740	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy13g02740" target="_blank">Bathy13g02740</a>	
Bathy13g02750	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy13g02750" target="_blank">Bathy13g02750</a>	
Bathy13g02770	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy13g02770" target="_blank">Bathy13g02770</a>	
Bathy13g02780	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy13g02780" target="_blank">Bathy13g02780</a>	
Bathy13g02790	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy13g02790" target="_blank">Bathy13g02790</a>	
Bathy13g02810	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy13g02810" target="_blank">Bathy13g02810</a>	
Bathy13g02830	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy13g02830" target="_blank">Bathy13g02830</a>	
Bathy13g02860	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy13g02860" target="_blank">Bathy13g02860</a>	
Bathy13g02880	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy13g02880" target="_blank">Bathy13g02880</a>	
Bathy13g02900	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy13g02900" target="_blank">Bathy13g02900</a>	
Bathy13g02910	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy13g02910" target="_blank">Bathy13g02910</a>	
Bathy13g02920	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy13g02920" target="_blank">Bathy13g02920</a>	
Bathy13g02930	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy13g02930" target="_blank">Bathy13g02930</a>	
Bathy13g02940	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy13g02940" target="_blank">Bathy13g02940</a>	
Bathy13g02950	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy13g02950" target="_blank">Bathy13g02950</a>	
Bathy13g02970	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy13g02970" target="_blank">Bathy13g02970</a>	
Bathy13g02990	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy13g02990" target="_blank">Bathy13g02990</a>	
Bathy13g03000	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy13g03000" target="_blank">Bathy13g03000</a>	
Bathy14g00010	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy14g00010" target="_blank">Bathy14g00010</a>	
Bathy14g00020	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy14g00020" target="_blank">Bathy14g00020</a>	
Bathy14g00040	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy14g00040" target="_blank">Bathy14g00040</a>	
Bathy14g00050	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy14g00050" target="_blank">Bathy14g00050</a>	
Bathy14g00070	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy14g00070" target="_blank">Bathy14g00070</a>	
Bathy14g00080	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy14g00080" target="_blank">Bathy14g00080</a>	
Bathy14g00090	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy14g00090" target="_blank">Bathy14g00090</a>	
Bathy14g00110	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy14g00110" target="_blank">Bathy14g00110</a>	
Bathy14g00120	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy14g00120" target="_blank">Bathy14g00120</a>	
Bathy14g00130	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy14g00130" target="_blank">Bathy14g00130</a>	
Bathy14g00140	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy14g00140" target="_blank">Bathy14g00140</a>	
Bathy14g00150	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy14g00150" target="_blank">Bathy14g00150</a>	
Bathy14g00160	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy14g00160" target="_blank">Bathy14g00160</a>	
Bathy14g00170	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy14g00170" target="_blank">Bathy14g00170</a>	
Bathy14g00200	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy14g00200" target="_blank">Bathy14g00200</a>	
Bathy14g00210	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy14g00210" target="_blank">Bathy14g00210</a>	
Bathy14g00220	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy14g00220" target="_blank">Bathy14g00220</a>	
Bathy14g00230	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy14g00230" target="_blank">Bathy14g00230</a>	
Bathy14g00240	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy14g00240" target="_blank">Bathy14g00240</a>	
Bathy14g00260	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy14g00260" target="_blank">Bathy14g00260</a>	
Bathy14g00270	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy14g00270" target="_blank">Bathy14g00270</a>	
Bathy14g00290	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy14g00290" target="_blank">Bathy14g00290</a>	
Bathy14g00300	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy14g00300" target="_blank">Bathy14g00300</a>	
Bathy14g00310	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy14g00310" target="_blank">Bathy14g00310</a>	
Bathy14g00340	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy14g00340" target="_blank">Bathy14g00340</a>	
Bathy14g00360	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy14g00360" target="_blank">Bathy14g00360</a>	
Bathy14g00370	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy14g00370" target="_blank">Bathy14g00370</a>	
Bathy14g00380	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy14g00380" target="_blank">Bathy14g00380</a>	
Bathy14g00400	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy14g00400" target="_blank">Bathy14g00400</a>	
Bathy14g00410	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy14g00410" target="_blank">Bathy14g00410</a>	
Bathy14g00420	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy14g00420" target="_blank">Bathy14g00420</a>	
Bathy14g00440	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy14g00440" target="_blank">Bathy14g00440</a>	
Bathy14g00450	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy14g00450" target="_blank">Bathy14g00450</a>	
Bathy14g00460	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy14g00460" target="_blank">Bathy14g00460</a>	
Bathy14g00470	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy14g00470" target="_blank">Bathy14g00470</a>	
Bathy14g00480	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy14g00480" target="_blank">Bathy14g00480</a>	
Bathy14g00490	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy14g00490" target="_blank">Bathy14g00490</a>	
Bathy14g00500	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy14g00500" target="_blank">Bathy14g00500</a>	
Bathy14g00520	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy14g00520" target="_blank">Bathy14g00520</a>	
Bathy14g00530	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy14g00530" target="_blank">Bathy14g00530</a>	
Bathy14g00560	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy14g00560" target="_blank">Bathy14g00560</a>	
Bathy14g00580	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy14g00580" target="_blank">Bathy14g00580</a>	
Bathy14g00590	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy14g00590" target="_blank">Bathy14g00590</a>	
Bathy14g00600	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy14g00600" target="_blank">Bathy14g00600</a>	
Bathy14g00620	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy14g00620" target="_blank">Bathy14g00620</a>	
Bathy14g00630	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy14g00630" target="_blank">Bathy14g00630</a>	
Bathy14g00640	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy14g00640" target="_blank">Bathy14g00640</a>	
Bathy14g00660	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy14g00660" target="_blank">Bathy14g00660</a>	
Bathy14g00670	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy14g00670" target="_blank">Bathy14g00670</a>	
IPR001537: tRNA/rRNA methyltransferase, SpoU; G3DSA:3.40.1280.10: no description; PTHR12029: FAMILY NOT NAMED; SSF75217: alpha/beta knot	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/IPR001537: tRNA/rRNA methyltransferase, SpoU; G3DSA:3.40.1280.10: no description; PTHR12029: FAMILY NOT NAMED; SSF75217: alpha/beta knot" target="_blank">IPR001537: tRNA/rRNA methyltransferase, SpoU; G3DSA:3.40.1280.10: no description; PTHR12029: FAMILY NOT NAMED; SSF75217: alpha/beta knot</a>	
Bathy17g01750	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy17g01750" target="_blank">Bathy17g01750</a>	
Bathy17g01760	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy17g01760" target="_blank">Bathy17g01760</a>	
Bathy17g01770	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy17g01770" target="_blank">Bathy17g01770</a>	
Bathy17g01780	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy17g01780" target="_blank">Bathy17g01780</a>	
Bathy17g01790	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy17g01790" target="_blank">Bathy17g01790</a>	
Bathy17g01800	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy17g01800" target="_blank">Bathy17g01800</a>	
Bathy17g01820	<a href="https://bioinformatics.psb.ugent.be/orcae/annotation/Bathy/current/Bathy17g01820" target="_blank">Bathy17g01820</a>	
